PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
acatamento,2.0,502.0,39.84064,2.0,41576.0,0.48105,82.82072,0.01207,joao-goulart
aceleração,1.0,502.0,19.92032,5.0,41576.0,1.20262,16.56414,0.06037,joao-goulart
administrativas,1.0,502.0,19.92032,2.0,41576.0,0.48105,41.41036,0.02415,joao-goulart
agora,2.0,502.0,39.84064,38.0,41576.0,9.13989,4.35899,0.22941,joao-goulart
alta,1.0,502.0,19.92032,21.0,41576.0,5.05099,3.94384,0.25356,joao-goulart
altos,2.0,502.0,39.84064,12.0,41576.0,2.88628,13.80345,0.07245,joao-goulart
ameaças,1.0,502.0,19.92032,3.0,41576.0,0.72157,27.60691,0.03622,joao-goulart
ampare,1.0,502.0,19.92032,1.0,41576.0,0.24052,82.82072,0.01207,joao-goulart
anos,1.0,502.0,19.92032,73.0,41576.0,17.55821,1.13453,0.88142,joao-goulart
apelo,1.0,502.0,19.92032,4.0,41576.0,0.96209,20.70518,0.0483,joao-goulart
apoio,1.0,502.0,19.92032,58.0,41576.0,13.95036,1.42794,0.70031,joao-goulart
armadas,1.0,502.0,19.92032,26.0,41576.0,6.25361,3.18541,0.31393,joao-goulart
assumindo,1.0,502.0,19.92032,5.0,41576.0,1.20262,16.56414,0.06037,joao-goulart
assumo,1.0,502.0,19.92032,8.0,41576.0,1.92419,10.35259,0.09659,joao-goulart
através,1.0,502.0,19.92032,27.0,41576.0,6.49413,3.06743,0.32601,joao-goulart
autoridades,1.0,502.0,19.92032,5.0,41576.0,1.20262,16.56414,0.06037,joao-goulart
autorizada,1.0,502.0,19.92032,1.0,41576.0,0.24052,82.82072,0.01207,joao-goulart
benefício,1.0,502.0,19.92032,5.0,41576.0,1.20262,16.56414,0.06037,joao-goulart
brasil,3.0,502.0,59.76096,277.0,41576.0,66.62498,0.89698,1.11486,joao-goulart
brasileira,1.0,502.0,19.92032,68.0,41576.0,16.35559,1.21795,0.82105,joao-goulart
