PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abalos,1.0,2170.0,4.60829,2.0,39908.0,0.50115,9.19539,0.10875,jose-sarney
abandonados,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
abandono,1.0,2170.0,4.60829,2.0,39908.0,0.50115,9.19539,0.10875,jose-sarney
abdica,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
aberto,2.0,2170.0,9.21659,8.0,39908.0,2.00461,4.5977,0.2175,jose-sarney
abertura,2.0,2170.0,9.21659,8.0,39908.0,2.00461,4.5977,0.2175,jose-sarney
absoluta,1.0,2170.0,4.60829,11.0,39908.0,2.75634,1.67189,0.59813,jose-sarney
acabamos,1.0,2170.0,4.60829,2.0,39908.0,0.50115,9.19539,0.10875,jose-sarney
aceita,1.0,2170.0,4.60829,2.0,39908.0,0.50115,9.19539,0.10875,jose-sarney
acertar,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
acerto,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
acesso,1.0,2170.0,4.60829,22.0,39908.0,5.51268,0.83594,1.19625,jose-sarney
acima,1.0,2170.0,4.60829,13.0,39908.0,3.25749,1.41468,0.70688,jose-sarney
acordo,1.0,2170.0,4.60829,13.0,39908.0,3.25749,1.41468,0.70688,jose-sarney
acordos,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
acreditar,2.0,2170.0,9.21659,7.0,39908.0,1.75403,5.25451,0.19031,jose-sarney
acumulada,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
acumulados,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
administradores,1.0,2170.0,4.60829,1.0,39908.0,0.25058,18.39078,0.05438,jose-sarney
administrar,1.0,2170.0,4.60829,2.0,39908.0,0.50115,9.19539,0.10875,jose-sarney
administração,2.0,2170.0,9.21659,30.0,39908.0,7.51729,1.22605,0.81563,jose-sarney
admitir,2.0,2170.0,9.21659,2.0,39908.0,0.50115,18.39078,0.05438,jose-sarney
