PALAVRA,SOMA_PALAVRA_ESTE,SOMA_TOTAL_ESTE,RATIO_PALAVRA_ESTE,SOMA_PALAVRA_OUTROS,SOMA_TOTAL_OUTROS,RATIO_PALAVRA_OUTROS,VEZES_MAIS_PROVAVEL_ESTE,VEZES_MAIS_PROVAVEL_OUTROS,PRESIDENTE
abrir,1.0,1022.0,9.78474,9.0,41056.0,2.19213,4.46358,0.22404,rodrigues-alves
abundantes,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
aceitar,1.0,1022.0,9.78474,3.0,41056.0,0.73071,13.39074,0.07468,rodrigues-alves
acentuar,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
acesso,1.0,1022.0,9.78474,22.0,41056.0,5.35853,1.82601,0.54764,rodrigues-alves
acham,2.0,1022.0,19.56947,4.0,41056.0,0.97428,20.08611,0.04979,rodrigues-alves
acrescentar,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
acudir,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
administrativa,1.0,1022.0,9.78474,4.0,41056.0,0.97428,10.04305,0.09957,rodrigues-alves
administração,1.0,1022.0,9.78474,31.0,41056.0,7.55066,1.29588,0.77168,rodrigues-alves
adstrito,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
afirmar,2.0,1022.0,19.56947,3.0,41056.0,0.73071,26.78147,0.03734,rodrigues-alves
afirmo,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
afligem,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
agitações,1.0,1022.0,9.78474,5.0,41056.0,1.21785,8.03444,0.12446,rodrigues-alves
agravação,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
ainda,3.0,1022.0,29.35421,110.0,41056.0,26.79267,1.09561,0.91274,rodrigues-alves
alguns,1.0,1022.0,9.78474,21.0,41056.0,5.11496,1.91296,0.52275,rodrigues-alves
alistamento,2.0,1022.0,19.56947,3.0,41056.0,0.73071,26.78147,0.03734,rodrigues-alves
aliás,1.0,1022.0,9.78474,6.0,41056.0,1.46142,6.69537,0.14936,rodrigues-alves
alta,2.0,1022.0,19.56947,20.0,41056.0,4.8714,4.01722,0.24893,rodrigues-alves
ambas,1.0,1022.0,9.78474,3.0,41056.0,0.73071,13.39074,0.07468,rodrigues-alves
amigas,1.0,1022.0,9.78474,6.0,41056.0,1.46142,6.69537,0.14936,rodrigues-alves
amizade,1.0,1022.0,9.78474,7.0,41056.0,1.70499,5.73889,0.17425,rodrigues-alves
ampla,1.0,1022.0,9.78474,11.0,41056.0,2.67927,3.65202,0.27382,rodrigues-alves
ano,2.0,1022.0,19.56947,34.0,41056.0,8.28137,2.36307,0.42318,rodrigues-alves
ante,1.0,1022.0,9.78474,6.0,41056.0,1.46142,6.69537,0.14936,rodrigues-alves
antecessor,2.0,1022.0,19.56947,2.0,41056.0,0.48714,40.17221,0.02489,rodrigues-alves
aparelhados,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
apenas,1.0,1022.0,9.78474,48.0,41056.0,11.69135,0.83692,1.19486,rodrigues-alves
aplicados,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
apoio,1.0,1022.0,9.78474,58.0,41056.0,14.12705,0.69262,1.44378,rodrigues-alves
apraz-me,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
apresenta,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
apresentava,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
apreço,1.0,1022.0,9.78474,5.0,41056.0,1.21785,8.03444,0.12446,rodrigues-alves
aproveitamento,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
arcar,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
armadas,2.0,1022.0,19.56947,25.0,41056.0,6.08924,3.21378,0.31116,rodrigues-alves
assegurada,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
assegurados,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
assim,1.0,1022.0,9.78474,89.0,41056.0,21.67771,0.45137,2.21546,rodrigues-alves
assinalar,1.0,1022.0,9.78474,4.0,41056.0,0.97428,10.04305,0.09957,rodrigues-alves
assumindo,1.0,1022.0,9.78474,5.0,41056.0,1.21785,8.03444,0.12446,rodrigues-alves
assumir,1.0,1022.0,9.78474,12.0,41056.0,2.92284,3.34768,0.29871,rodrigues-alves
assunto,1.0,1022.0,9.78474,8.0,41056.0,1.94856,5.02153,0.19914,rodrigues-alves
atentos,1.0,1022.0,9.78474,3.0,41056.0,0.73071,13.39074,0.07468,rodrigues-alves
atenção,2.0,1022.0,19.56947,25.0,41056.0,6.08924,3.21378,0.31116,rodrigues-alves
atividade,4.0,1022.0,39.13894,15.0,41056.0,3.65355,10.71259,0.09335,rodrigues-alves
atividades,1.0,1022.0,9.78474,9.0,41056.0,2.19213,4.46358,0.22404,rodrigues-alves
atribuições,1.0,1022.0,9.78474,5.0,41056.0,1.21785,8.03444,0.12446,rodrigues-alves
atualmente,1.0,1022.0,9.78474,5.0,41056.0,1.21785,8.03444,0.12446,rodrigues-alves
auxílio,2.0,1022.0,19.56947,2.0,41056.0,0.48714,40.17221,0.02489,rodrigues-alves
ação,5.0,1022.0,48.92368,58.0,41056.0,14.12705,3.46312,0.28876,rodrigues-alves
baixa,1.0,1022.0,9.78474,7.0,41056.0,1.70499,5.73889,0.17425,rodrigues-alves
base,2.0,1022.0,19.56947,28.0,41056.0,6.81995,2.86944,0.3485,rodrigues-alves
bastante,2.0,1022.0,19.56947,4.0,41056.0,0.97428,20.08611,0.04979,rodrigues-alves
bem,4.0,1022.0,39.13894,90.0,41056.0,21.92128,1.78543,0.56009,rodrigues-alves
benefício,1.0,1022.0,9.78474,5.0,41056.0,1.21785,8.03444,0.12446,rodrigues-alves
boa,2.0,1022.0,19.56947,14.0,41056.0,3.40998,5.73889,0.17425,rodrigues-alves
bom,1.0,1022.0,9.78474,17.0,41056.0,4.14069,2.36307,0.42318,rodrigues-alves
bons,1.0,1022.0,9.78474,8.0,41056.0,1.94856,5.02153,0.19914,rodrigues-alves
brasileiro,1.0,1022.0,9.78474,108.0,41056.0,26.30553,0.37196,2.68843,rodrigues-alves
brasileiros,1.0,1022.0,9.78474,126.0,41056.0,30.68979,0.31883,3.1365,rodrigues-alves
braço,1.0,1022.0,9.78474,3.0,41056.0,0.73071,13.39074,0.07468,rodrigues-alves
braços,3.0,1022.0,29.35421,5.0,41056.0,1.21785,24.10333,0.04149,rodrigues-alves
cada,1.0,1022.0,9.78474,96.0,41056.0,23.3827,0.41846,2.38971,rodrigues-alves
capitais,1.0,1022.0,9.78474,14.0,41056.0,3.40998,2.86944,0.3485,rodrigues-alves
capital,5.0,1022.0,48.92368,27.0,41056.0,6.57638,7.4393,0.13442,rodrigues-alves
cargo,1.0,1022.0,9.78474,7.0,41056.0,1.70499,5.73889,0.17425,rodrigues-alves
causa,1.0,1022.0,9.78474,22.0,41056.0,5.35853,1.82601,0.54764,rodrigues-alves
causas,2.0,1022.0,19.56947,5.0,41056.0,1.21785,16.06888,0.06223,rodrigues-alves
centro,1.0,1022.0,9.78474,10.0,41056.0,2.4357,4.01722,0.24893,rodrigues-alves
certo,1.0,1022.0,9.78474,30.0,41056.0,7.30709,1.33907,0.74678,rodrigues-alves
cessar,2.0,1022.0,19.56947,1.0,41056.0,0.24357,80.34442,0.01245,rodrigues-alves
cheio,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
cidade,1.0,1022.0,9.78474,9.0,41056.0,2.19213,4.46358,0.22404,rodrigues-alves
circulação,2.0,1022.0,19.56947,6.0,41056.0,1.46142,13.39074,0.07468,rodrigues-alves
civil,1.0,1022.0,9.78474,19.0,41056.0,4.62783,2.11433,0.47296,rodrigues-alves
civis,1.0,1022.0,9.78474,7.0,41056.0,1.70499,5.73889,0.17425,rodrigues-alves
civismo,1.0,1022.0,9.78474,3.0,41056.0,0.73071,13.39074,0.07468,rodrigues-alves
clara,1.0,1022.0,9.78474,4.0,41056.0,0.97428,10.04305,0.09957,rodrigues-alves
classe,2.0,1022.0,19.56947,21.0,41056.0,5.11496,3.82592,0.26137,rodrigues-alves
classes,5.0,1022.0,48.92368,30.0,41056.0,7.30709,6.69537,0.14936,rodrigues-alves
colocada,1.0,1022.0,9.78474,1.0,41056.0,0.24357,40.17221,0.02489,rodrigues-alves
colonização,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
combater,2.0,1022.0,19.56947,9.0,41056.0,2.19213,8.92716,0.11202,rodrigues-alves
começo,1.0,1022.0,9.78474,3.0,41056.0,0.73071,13.39074,0.07468,rodrigues-alves
compatíveis,1.0,1022.0,9.78474,2.0,41056.0,0.48714,20.08611,0.04979,rodrigues-alves
competência,1.0,1022.0,9.78474,10.0,41056.0,2.4357,4.01722,0.24893,rodrigues-alves
completa,1.0,1022.0,9.78474,7.0,41056.0,1.70499,5.73889,0.17425,rodrigues-alves
completo,1.0,1022.0,9.78474,4.0,41056.0,0.97428,10.04305,0.09957,rodrigues-alves
comércio,2.0,1022.0,19.56947,30.0,41056.0,7.30709,2.67815,0.37339,rodrigues-alves
concidadãos,3.0,1022.0,29.35421,16.0,41056.0,3.89712,7.53229,0.13276,rodrigues-alves
concurso,2.0,1022.0,19.56947,11.0,41056.0,2.67927,7.30404,0.13691,rodrigues-alves
condições,4.0,1022.0,39.13894,63.0,41056.0,15.34489,2.55062,0.39206,rodrigues-alves
